"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Status","LineAmountTypes","Trans #"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37417","31/07/2023","30/08/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,211"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37417_10,211","31/07/2023","30/08/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,211"
"Australian Taxation Office",,,,,,,,,,"M37417_10,211","31/07/2023","31/07/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,211"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37418","31/08/2023","30/09/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,212"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37418_10,212","31/08/2023","30/09/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,212"
"Australian Taxation Office",,,,,,,,,,"M37418_10,212","31/08/2023","31/08/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,212"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37419","30/09/2023","30/10/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,213"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37419_10,213","30/09/2023","30/10/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,213"
"Australian Taxation Office",,,,,,,,,,"M37419_10,213","30/09/2023","30/09/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,213"
"0234 MICHEAL BIGENI",,,,,,,,,,"W37353","03/10/2023","02/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,209"
"0234 MICHEAL BIGENI",,,,,,,,,,"W37353_10,209","03/10/2023","02/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,209"
"Australian Taxation Office",,,,,,,,,,"W37353_10,209","03/10/2023","31/10/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,209"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37798","31/10/2023","30/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,302"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37798_10,302","31/10/2023","30/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,302"
"Australian Taxation Office",,,,,,,,,,"M37798_10,302","31/10/2023","31/10/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,302"
"1424 Newcastle Sandstone Supplies",,,,,,,,,,"W37416","01/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,210"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37416_10,210","01/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,210"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37416_10,210","01/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,210"
"Australian Taxation Office",,,,,,,,,,"W37416_10,210","01/11/2023","30/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,210"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676","30/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,278"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","30/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,278"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","30/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,278"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W35676_10,278","30/11/2023","31/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,278"
"Australian Taxation Office",,,,,,,,,,"W35676_10,278","30/11/2023","30/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,278"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37799","30/11/2023","30/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,303"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37799_10,303","30/11/2023","30/12/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,303"
"Australian Taxation Office",,,,,,,,,,"M37799_10,303","30/11/2023","30/11/2023",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,303"
"0403 DARACON",,,,,,,,,,"W37772","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
"0403 DARACON",,,,,,,,,,"W37772_10,285","20/12/2023","19/01/2024",,,".",1,,"9999","BAS Excluded",,,,,,,"DRAFT","Exclusive","10,285"
