"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Trans #"
"Social security office",,,,,,,,,,"JV202012001","14/12/2020","14/12/2020",,,"",1,-272,"9999","BAS Excluded",,,"",,,,""
"tis petroleum E&P BLORA",,,,,,,,,,"PV202103002","28/01/2021","28/01/2021",,,"",1,-720,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202103003","11/03/2021","11/03/2021",,,"",1,-420,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202103004","11/03/2021","11/03/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202104001","23/04/2021","23/04/2021",,,"",1,-420,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202105001","23/04/2021","23/04/2021",,,"",1,-11540,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202105004","05/05/2021","05/05/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202106002","02/06/2021","02/06/2021",,,"",1,-2884.62,"9999","BAS Excluded",,,"",,,,""
"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"PV202106003","02/06/2021","02/06/2021",,,"",1,-1200,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202105005","04/06/2021","04/06/2021",,,"",1,-4880,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202107001","09/07/2021","09/07/2021",,,"",1,-3004.62,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202107002","09/07/2021","09/07/2021",,,"",1,-600,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202108002","04/08/2021","04/08/2021",,,"",1,-600,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202108001","12/08/2021","12/08/2021",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202109002","27/09/2021","27/09/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202110001","14/10/2021","14/10/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202110003","29/10/2021","29/10/2021",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202111001","15/11/2021","15/11/2021",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202201002","10/01/2022","10/01/2022",,,"",1,-1500,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202202003","09/02/2022","09/02/2022",,,"",1,-1500,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"PV202202001","15/02/2022","15/02/2022",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202204001","08/04/2022","08/04/2022",,,"",1,-8653.85,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202206001","20/06/2022","20/06/2022",,,"",1,-8000,"9999","BAS Excluded",,,"",,,,""
"Revenue department",,,,,,,,,,"PV202207001","06/07/2022","06/07/2022",,,"",1,-3124.62,"9999","BAS Excluded",,,"",,,,""
"Social security office",,,,,,,,,,"JV202212003","31/12/2022","31/12/2022",,,"",1,-750,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202301002","26/01/2023","26/01/2023",,,"",1,-779227.02,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303002","13/03/2023","13/03/2023",,,"",1,-65506464.2,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303003","13/03/2023","13/03/2023",,,"",1,-173766,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303004","13/03/2023","13/03/2023",,,"",1,-500,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303006","13/03/2023","13/03/2023",,,"",1,-500,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202303005","23/03/2023","23/03/2023",,,"",1,-687515.55,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202304001","07/04/2023","07/04/2023",,,"",1,-928109.07,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202305002","08/05/2023","08/05/2023",,,"",1,-338.4,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202306004","07/06/2023","07/06/2023",,,"",1,-345.26,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202303001","14/06/2023","14/06/2023",,,"",1,-8000,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202306003","28/06/2023","28/06/2023",,,"",1,-3039253.47,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202307003","07/07/2023","07/07/2023",,,"",1,-5864452.58,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202307006","07/07/2023","07/07/2023",,,"",1,-341.07,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202307004","21/07/2023","21/07/2023",,,"",1,-3400823.42,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202307005","21/07/2023","21/07/2023",,,"",1,-3230294.1,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309003","07/09/2023","07/09/2023",,,"",1,-362.99,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309001","08/09/2023","08/09/2023",,,"",1,-1210297.08,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309002","08/09/2023","08/09/2023",,,"",1,-952400.98,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309004","20/09/2023","20/09/2023",,,"",1,-228725.2,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309006","25/09/2023","25/09/2023",,,"",1,-1300987.31,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202309007","29/09/2023","29/09/2023",,,"",1,-225078.7,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202310001","09/10/2023","09/10/2023",,,"",1,-370.31,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202310002","09/10/2023","09/10/2023",,,"",1,-370233.53,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202310003","25/10/2023","25/10/2023",,,"",1,-1839599.47,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202311001","27/11/2023","27/11/2023",,,"",1,-914361.54,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202312001","02/01/2024","02/01/2024",,,"",1,-1022669.56,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202401002","09/01/2024","09/01/2024",,,"",1,-44676973.9,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202402002","02/02/2024","02/02/2024",,,"",1,-1359105.18,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202403001","04/03/2024","04/03/2024",,,"",1,-1128726.66,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202403003","08/03/2024","08/03/2024",,,"",1,-729469.94,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202403004","29/03/2024","29/03/2024",,,"",1,-956471.81,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202404001","30/04/2024","30/04/2024",,,"",1,-836390.01,"9999","BAS Excluded",,,"",,,,""
"Audit",,,,,,,,,,"PV202402001","27/05/2024","27/05/2024",,,"",1,-8000,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202405001","30/05/2024","30/05/2024",,,"",1,-1078340.44,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202407001","03/07/2024","03/07/2024",,,"",1,-1305908.15,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202407002","30/07/2024","30/07/2024",,,"",1,-762931.31,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202408001","19/08/2024","19/08/2024",,,"",1,-368805.32,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202408002","29/08/2024","29/08/2024",,,"",1,-1116790.53,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202409001","09/09/2024","09/09/2024",,,"",1,-90670.38,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202409002","26/09/2024","26/09/2024",,,"",1,-337048.17,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202409003","01/10/2024","01/10/2024",,,"",1,-2297626.02,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202410001","01/10/2024","01/10/2024",,,"",1,-116321.35,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202410002","28/10/2024","28/10/2024",,,"",1,-2201886.93,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202411001","29/11/2024","29/11/2024",,,"",1,-1030502.15,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202412003","25/12/2024","25/12/2024",,,"",1,-1222259.16,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"PV202412004","30/12/2024","30/12/2024",,,"",1,-251048.9,"9999","BAS Excluded",,,"",,,,""
"Caryon SA - HQ",,,,,,,,,,"JV202412006","31/12/2024","31/12/2024",,,"",1,-30265634.19,"9999","BAS Excluded",,,"",,,,""