"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","BrandingTheme","Status","LineAmountTypes"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0403 DARACON",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37772_10,285","10,285","20/12/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"4000 MACKAS SAND",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","19/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37773_10,286","10,286","20/12/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37800","10,304","31/12/2023","30/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37800_10,304","10,304","31/12/2023","30/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37800_10,304","10,304","31/12/2023","31/12/2023",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"W37797","10,290","07/01/2024","07/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37797_10,290","10,290","07/01/2024","07/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37797_10,290","10,290","07/01/2024","31/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37801","10,313","31/01/2024","01/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M37801_10,313","10,313","31/01/2024","01/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M37801_10,313","10,313","31/01/2024","31/01/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"W37987","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37987_10,325","10,325","17/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"W37986","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","17/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W37986_10,326","10,326","17/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"W38029","10,328","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38029_10,328","10,328","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38029_10,328","10,328","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W38029_10,328","10,328","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"W38028","10,329","29/02/2024","30/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38028_10,329","10,329","29/02/2024","30/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W38028_10,329","10,329","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38031","10,377","29/02/2024","30/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38031_10,377","10,377","29/02/2024","30/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M38031_10,377","10,377","29/02/2024","29/02/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"W38030","10,375","10/03/2024","10/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38030_10,375","10,375","10/03/2024","10/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38030_10,375","10,375","10/03/2024","10/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38030_10,375","10,375","10/03/2024","10/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38030_10,375","10,375","10/03/2024","10/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W38030_10,375","10,375","10/03/2024","31/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38032","10,378","31/03/2024","30/04/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38032_10,378","10,378","31/03/2024","30/04/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M38032_10,378","10,378","31/03/2024","31/03/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38034","10,390","30/04/2024","30/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38034_10,390","10,390","30/04/2024","30/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M38034_10,390","10,390","30/04/2024","30/04/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"M38035","10,401","14/05/2024","14/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"0300 Cash Sales - COD",,,,,,,,,,"M38035_10,401","10,401","14/05/2024","14/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M38035_10,401","10,401","14/05/2024","31/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38315","10,409","14/05/2024","13/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL",,,,,,,,,,"W38315_10,409","10,409","14/05/2024","13/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W38315_10,409","10,409","14/05/2024","31/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38412","10,412","30/05/2024","29/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38412_10,412","10,412","30/05/2024","29/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38412_10,412","10,412","30/05/2024","29/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38412_10,412","10,412","30/05/2024","29/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38412_10,412","10,412","30/05/2024","29/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"W38412_10,412","10,412","30/05/2024","31/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38582","10,439","31/05/2024","30/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1302 MACKA'S SAND & SOIL SUPPLIES",,,,,,,,,,"M38582_10,439","10,439","31/05/2024","30/06/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"Australian Taxation Office",,,,,,,,,,"M38582_10,439","10,439","31/05/2024","31/05/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38537","10,424","18/06/2024","18/07/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
"1350 MILLEEN CONSTRUCTIONS PTY LTD",,,,,,,,,,"W38537_10,424","10,424","18/06/2024","18/07/2024",,".",1,,,"9999","BAS Excluded",,,,,,,,"DRAFT","Exclusive"
