"Date","Reference","Amount","Invoice Number","Exchange Rate","Account","Name"
"31/07/2023","10,211","955,563.62","M37417",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"31/08/2023","10,212","1,098,912.87","M37418",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"30/09/2023","10,213","907,884.56","M37419",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"03/10/2023","10,209","326.26","W37353",,"1001","0234 MICHEAL BIGENI"
"31/10/2023","10,302","731,199.48","M37798",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"01/11/2023","10,210","220.66","W37416",,"1001","1424 Newcastle Sandstone Supplies"
"30/11/2023","10,278","435.42","W35676",,"1001","1302 MACKA'S SAND & SOIL"
"30/11/2023","10,303","891,396.33","M37799",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"20/12/2023","10,285","40,126.90","W37772",,"1001","0403 DARACON"
"20/12/2023","10,286","9,628.74","W37773",,"1001","4000 MACKAS SAND"
"31/12/2023","10,304","761,435.07","M37800",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"07/01/2024","10,290","723.49","W37797",,"1001","0300 Cash Sales - COD"
"31/01/2024","10,313","639,555.40","M37801",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"17/02/2024","10,325","2,159.74","W37987",,"1001","0300 Cash Sales - COD"
"17/02/2024","10,326","2,295.92","W37986",,"1001","0300 Cash Sales - COD"
"29/02/2024","10,328","243.76","W38029",,"1001","0300 Cash Sales - COD"
"29/02/2024","10,329","309.1","W38028",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"29/02/2024","10,377","821,746.86","M38031",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"10/03/2024","10,375","3,614.99","W38030",,"1001","0300 Cash Sales - COD"
"31/03/2024","10,378","834,358.03","M38032",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"30/04/2024","10,390","731,642.78","M38034",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"14/05/2024","10,401","344.3","M38035",,"1001","0300 Cash Sales - COD"
"14/05/2024","10,409","137.72","W38315",,"1001","1302 MACKA'S SAND & SOIL"
"30/05/2024","10,412","4,555.15","W38412",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"31/05/2024","10,439","790,803.09","M38582",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"18/06/2024","10,424","2,289.81","W38537",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"30/06/2024","10,425","3,031.99","W38538",,"1001","1302 MACKA'S SAND & SOIL"
"30/06/2024","10,432","4,489.76","W38579",,"1001","1302 MACKA'S SAND & SOIL"
"30/06/2024","10,433","2,176.32","W38580",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"30/06/2024","10,434","1,045.00","W38581",,"1001","0300 Cash Sales - COD"
"30/06/2024","10,440","709,633.65","M38583",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"09/07/2024","10,443","1,098.50","W38619",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"12/07/2024","10,445","52.36","M38620",,"1001","0300 Cash Sales - COD"
"23/07/2024","10,455","52.36","W38652",,"1001","1302 MACKA'S SAND & SOIL"
"23/07/2024","10,457","2,193.88","W38690",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"31/07/2024","10,565","815,588.84","M39038",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"06/08/2024","10,505","2,187.61","W38762",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"13/08/2024","10,506","4,271.20","W38879",,"1001","0300 Cash Sales - COD"
"20/08/2024","10,507","394.46","W38880",,"1001","1302 MACKA'S SAND & SOIL"
"20/08/2024","10,528","2,291.69","W38914",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"28/08/2024","10,519","1,045.00","M38882",,"1001","0300 Cash Sales - COD"
"31/08/2024","10,524","388.08","W38953",,"1001","1302 MACKA'S SAND & SOIL"
"31/08/2024","10,525","709.28","W38951",,"1001","1302 MACKA'S SAND & SOIL"
"31/08/2024","10,526","1,102.89","W38952",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"31/08/2024","10,566","931,399.70","M39039",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"10/09/2024","10,534","89.32","M38998",,"1001","1302 MACKA'S SAND & SOIL"
"17/09/2024","10,544","2,425.39","M39036",,"1001","1302 MACKA'S SAND & SOIL"
"30/09/2024","10,567","972,738.47","M39040",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"01/10/2024","10,545","417.78","W39037",,"1001","1302 MACKA'S SAND & SOIL"
"01/10/2024","10,568","735.24","W39081",,"1001","1302 MACKA'S SAND & SOIL"
"08/10/2024","10,573","123.42","W39125",,"1001","1302 MACKA'S SAND & SOIL"
"10/10/2024","10,569","2,198.89","W39082",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"17/10/2024","10,575","1,105.40","W39175",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"22/10/2024","10,581","1,082.20","W39220",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"31/10/2024","10,586","1,065,559.88","M39222",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"05/11/2024","10,596","1,094.74","W39308",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"19/11/2024","10,597","1,110.42","W39402",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"30/11/2024","10,602","1,562.49","W39451",,"1001","1350 MILLEEN CONSTRUCTIONS PTY LTD"
"30/11/2024","10,632","1,110,343.52","M39642",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"18/12/2024","10,625","56.76","W39584",,"1001","1302 MACKA'S SAND & SOIL"
"31/12/2024","10,627","13.42","W39641",,"1001","1302 MACKA'S SAND & SOIL"
"31/12/2024","10,633","806,223.33","M39643",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"28/01/2025","10,645","43.56","W39772",,"1001","1302 MACKA'S SAND & SOIL"
"31/01/2025","10,722","668,350.54","M40104",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"18/02/2025","10,698","1,584.00","W39931",,"1001","0300 Cash Sales - COD"
"28/02/2025","10,700","835.89","W39981",,"1001","1302 MACKA'S SAND & SOIL"
"28/02/2025","10,723","978,481.02","M40105",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"
"04/03/2025","10,705","1,390.84","W40020",,"1001","1302 MACKA'S SAND & SOIL"
"13/03/2025","10,715","2,062.72","W40061",,"1001","1302 MACKA'S SAND & SOIL"
"18/03/2025","10,720","3,228.94","W40103",,"1001","1302 MACKA'S SAND & SOIL"
"31/03/2025","10,732","954,299.28","M40108",,"1001","1302 MACKA'S SAND & SOIL SUPPLIES"